name,length_ft,endpoint_a,endpoint_b,intersection_to_intersection,wholly_inside,source_segments,source_ids,lon,lat
POND STREET,52.27459447123978,NEUTRAL COURT,STEUBEN STREET,True,True,1,800052349,-76.15192779940107,43.06536537677597
HUTCHINSON AVENUE,52.50902605909833,FLETCHER AVENUE,FLETCHER AVENUE,True,True,1,477443763,-76.16657230625282,43.015975641573085
OAK STREET,52.57360724367293,OAK PLACE,GERTRUDE STREET,True,True,1,477432878,-76.13336678469082,43.05632362896864
BEECHER STREET,52.813036249267874,SOUTH ALVORD STREET,HIGHLAND STREET,True,True,1,477431718,-76.14140380453813,43.06036460016412
LORETTO ROUNDABOUT,52.85957924508405,EAST GLEN AVENUE,EAST GLEN AVENUE,True,True,1,800100174,-76.13653912894887,43.009011533792396
SOUTH GEDDES STREET,52.91748202606804,ELLIOTT STREET,ELLIOTT STREET,True,True,1,477439850,-76.17432379879133,43.03510461732148
SKYTOP ROAD,53.115301787170154,DEAD END / SAME-NAME BRANCH,FARM ACRE ROAD,False,True,1,477443380,-76.12324727600011,43.01883258885239
DEMONG DRIVE,53.14040527413219,GIFFORD PARKWAY,GIFFORD PARKWAY,True,True,1,477437205,-76.08570785518302,43.04351433166894
WESTMORELAND AVENUE,53.57793766346384,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477440803,-76.11357207240025,43.03170811590968
FOREST HILL DRIVE,53.63707363694053,JAMES STREET,DEAD END / SAME-NAME BRANCH,False,True,1,477429856,-76.11135967944315,43.068541015349446
SOUTH MCBRIDE STREET,53.65391600433766,SIZER STREET,ROSE AVENUE,True,True,1,506986283,-76.14365077936081,43.03663210826366
RUGBY ROAD,54.18917409724233,SEDGWICK DRIVE,SEDGWICK DRIVE,True,True,1,504326410,-76.13293646524288,43.067140308229995
SEDGWICK DRIVE,54.228191468654,RUGBY ROAD,RUGBY ROAD,True,True,1,504326413,-76.1328291730142,43.06703589751461
FIRST NORTH STREET,54.41567416337113,JOHN STREET,JOHN STREET,True,True,1,477430055,-76.14469929471392,43.06766461333691
ONONDAGA AVENUE,54.60092102394996,SOUTH AVENUE,PARKWAY DRIVE,True,True,1,477442391,-76.15938296410367,43.02469359725482
SOUTH SALINA STREET,54.92650258566706,ROSEMONT DRIVE,HARDING PLACE,True,True,1,477446618,-76.14374678323279,42.9934386335936
ALMOND STREET,55.06256038339874,HARRISON STREET,HARRISON STREET,True,True,1,506021524,-76.14223528062283,43.044306086280955
HANCOCK DRIVE,55.15659446460889,RIDER AVENUE,DEAD END / SAME-NAME BRANCH,False,True,1,477441929,-76.17959659679646,43.02701704615922
SHERBOURNE ROAD,55.63559080896189,MEADOWBROOK DRIVE;NOTTINGHAM ROAD,MEADOWBROOK DRIVE,True,True,1,477440568,-76.11171339083239,43.03250597667411
CLIFTON PLACE,55.85026712215959,MELROSE AVENUE,MELROSE AVENUE,True,True,1,477430739,-76.11666876813678,43.06456012981746
MIDLAND AVENUE,55.90886884743646,WARNER AVENUE,WARNER AVENUE,True,True,1,477442903,-76.14999381679318,43.02191663783481
ROWLAND STREET,56.24045448603437,HERRIMAN STREET,ARTHUR STREET,True,True,1,477439626,-76.177134269317,43.03580761528825
LORETTO ROUNDABOUT,56.35143267706529,EAST GLEN AVENUE,EAST GLEN AVENUE,True,True,1,800100183,-76.13616304228549,43.00897621921297
OTISCO STREET,56.44119244840762,STONE COURT,NIAGARA STREET,True,True,1,477436477,-76.16140227949218,43.04603660430564
CRAWFORD AVENUE,56.451393642398344,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477438916,-76.10876732818699,43.03828903800252
