name,id,length_ft,fcc,wholly_inside,lon,lat
HAMPSHIRE ROAD,477430502,40.00053100831043,A41,True,-76.13182931530906,43.065662920451025
FOXBORO ROAD,477435443,40.46741563614225,A41,True,-76.09367939303417,43.04944612159879
HADDON ROAD,477438226,40.49230664942117,A41,True,-76.08967377153213,43.04038715001476
DEVINE STREET,506021457,40.65716035027802,A41,True,-76.11890592980612,43.04985001122853
MOUNTAINVIEW AVENUE,800048562,40.72010751296498,A41,True,-76.09385926029202,43.05106159411752
BRADFORD PARKWAY,504325054,40.827379382911296,A45,True,-76.10680073839404,43.04153772436977
VALLEY DRIVE,477446193,40.867505564054674,A31,True,-76.15286283821152,42.99778859686646
DYER COURT,477438188,40.90325982395801,A43,True,-76.14227862119083,43.04041619454342
SOUTH AVENUE,477442664,41.17836924656175,A31,True,-76.15927927117633,43.02318111834593
WEST STREET ARTERIAL NORTHBOUND,800037089,41.206145174937404,A35,True,-76.15817508315503,43.05331672385868
