DHCST|NY|100|00|00|000|00|0212288|1000000US360670001001000|360670001001000|1|2|36|01779796|067|H1|00974132|73000|C5|00979539|99999|99|99999999||||99999|99|99999999|73000|C5|00979539|000100|1|1000|9999|9|99999|99|99999999|999|99999|99|99999999|999999|9|99999|99|99999999|45060|1|532|99999|99999|9|999|99999|Y|N|86302|U|U|24|||||050|||||129|||||000282|A|13208|99999|99999|28590|00701|134682|0|1000|Block 1000|S||0|0|+43.0823495|-076.1647067|BK||99999
DHCST|NY|100|00|00|000|00|0212289|1000000US360670001001001|360670001001001|1|2|36|01779796|067|H1|00974132|73000|C5|00979539|99999|99|99999999||||99999|99|99999999|73000|C5|00979539|000100|1|1001|9999|9|99999|99|99999999|999|99999|99|99999999|999999|9|99999|99|99999999|45060|1|532|99999|99999|9|999|99999|Y|N|86302|U|U|24|||||050|||||129|||||000282|A|13208|99999|99999|28590|00701|321800|0|1001|Block 1001|S||0|0|+43.0806218|-076.1632125|BK||99999
DHCST|NY|100|00|00|000|00|0212290|1000000US360670001001002|360670001001002|1|2|36|01779796|067|H1|00974132|73000|C5|00979539|99999|99|99999999||||99999|99|99999999|73000|C5|00979539|000100|1|1002|9999|9|99999|99|99999999|999|99999|99|99999999|999999|9|99999|99|99999999|45060|1|532|99999|99999|9|999|99999|Y|N|86302|U|U|24|||||053|||||129|||||000280|A|13208|99999|99999|28590|00701|7437|0|1002|Block 1002|S||0|0|+43.0782369|-076.1612803|BK||99999
DHCST|NY|100|00|00|000|00|0212291|1000000US360670001001003|360670001001003|1|2|36|01779796|067|H1|00974132|73000|C5|00979539|99999|99|99999999||||99999|99|99999999|73000|C5|00979539|000100|1|1003|9999|9|99999|99|99999999|999|99999|99|99999999|999999|9|99999|99|99999999|45060|1|532|99999|99999|9|999|99999|Y|N|86302|U|U|24|||||053|||||129|||||000280|A|13208|99999|99999|28590|00701|15328|0|1003|Block 1003|S||11|3|+43.0800628|-076.1599260|BK||99999
DHCST|NY|100|00|00|000|00|0212292|1000000US360670001001004|360670001001004|1|2|36|01779796|067|H1|00974132|73000|C5|00979539|99999|99|99999999||||99999|99|99999999|73000|C5|00979539|000100|1|1004|9999|9|99999|99|99999999|999|99999|99|99999999|999999|9|99999|99|99999999|45060|1|532|99999|99999|9|999|99999|Y|N|86302|U|U|24|||||053|||||129|||||000280|A|13208|99999|99999|28590|00701|8412|0|1004|Block 1004|S||0|0|+43.0820259|-076.1584097|BK||99999
DHCST|NY|100|00|00|000|00|0212293|1000000US360670001001005|360670001001005|1|2|36|01779796|067|H1|00974132|73000|C5|00979539|99999|99|99999999||||99999|99|99999999|73000|C5|00979539|000100|1|1005|9999|9|99999|99|99999999|999|99999|99|99999999|999999|9|99999|99|99999999|45060|1|532|99999|99999|9|999|99999|Y|N|86302|U|U|24|||||050|||||129|||||000282|A|13208|99999|99999|28590|00701|13880|0|1005|Block 1005|S||0|0|+43.0762201|-076.1639302|BK||99999
DHCST|NY|100|00|00|000|00|0212294|1000000US360670001001006|360670001001006|1|2|36|01779796|067|H1|00974132|73000|C5|00979539|99999|99|99999999||||99999|99|99999999|73000|C5|00979539|000100|1|1006|9999|9|99999|99|99999999|999|99999|99|99999999|999999|9|99999|99|99999999|45060|1|532|99999|99999|9|999|99999|Y|N|86302|U|U|24|||||050|||||129|||||000282|A|13208|99999|99999|28590|00701|49650|0|1006|Block 1006|S||0|0|+43.0777565|-076.1635853|BK||99999
DHCST|NY|100|00|00|000|00|0212295|1000000US360670001001007|360670001001007|1|2|36|01779796|067|H1|00974132|73000|C5|00979539|99999|99|99999999||||99999|99|99999999|73000|C5|00979539|000100|1|1007|9999|9|99999|99|99999999|999|99999|99|99999999|999999|9|99999|99|99999999|45060|1|532|99999|99999|9|999|99999|Y|N|86302|U|U|24|||||053|||||129|||||000280|A|13208|99999|99999|28590|00701|7164|0|1007|Block 1007|S||50|40|+43.0770258|-076.1621742|BK||99999
DHCST|NY|100|00|00|000|00|0212296|1000000US360670001001008|360670001001008|1|2|36|01779796|067|H1|00974132|73000|C5|00979539|99999|99|99999999||||99999|99|99999999|73000|C5|00979539|000100|1|1008|9999|9|99999|99|99999999|999|99999|99|99999999|999999|9|99999|99|99999999|45060|1|532|99999|99999|9|999|99999|Y|N|86302|U|U|24|||||053|||||129|||||000280|A|13208|99999|99999|28590|00701|6604|0|1008|Block 1008|S||0|0|+43.0758258|-076.1630494|BK||99999
DHCST|NY|100|00|00|000|00|0212297|1000000US360670001001009|360670001001009|1|2|36|01779796|067|H1|00974132|73000|C5|00979539|99999|99|99999999||||99999|99|99999999|73000|C5|00979539|000100|1|1009|9999|9|99999|99|99999999|999|99999|99|99999999|999999|9|99999|99|99999999|45060|1|532|99999|99999|9|999|99999|Y|N|86302|U|U|24|||||050|||||129|||||000282|A|13208|99999|99999|28590|00701|14643|0|1009|Block 1009|S||0|0|+43.0737404|-076.1645604|BK||99999
