FID,ID,SPP_COM,SPP_BOT,DBH,AREA,PLANTDATE,CENSUSTRAC,ARPA,ADDRESS,STREET,X,Y,LATITUDE,LONGITUDE,x2,y2
27273,74321,"lilac, Japanese tree",Syringa reticulata,6,Near Westside,To Be Determined,40,Yes,248,Shonnard St,932385.933937995,1108452.94893899,43.0414241047,-76.1637048595693,-8478505.09794697,5318280.45727229
27274,74322,"elm, hybrid",Ulmus x,9,Near Westside,Fall 2013,40,Yes,618,Oswego St,932276.911518016,1108445.913,43.0414062945,-76.164112806,-8478550.51035559,5318277.74454648
27275,73912,"Maple, Hedge",Acer campestre,2,Near Westside,To Be Determined,30,Yes,730,Otisco St,930673.647186259,1109374.34045468,43.0439754678588,-76.1700929665002,-8479216.21900885,5318669.07103153
27276,75535,"Maple, Norway",Acer platanoides,24,Elmwood,To Be Determined,51,Yes,106,Eastman Ave,933386.062245,1101330.319069,43.0218676785116,-76.1600980339797,-8478103.58766518,5315302.23443162
27277,74708,"Maple, Silver",Acer saccharinum,39,Near Westside,To Be Determined,39,Yes,216,Barrett St,930925.889329012,1107323.29907998,43.0383445345,-76.1691872291,-8479115.39270067,5317811.41051471
27278,73913,"Maple, Hedge",Acer campestre,3,Near Westside,Spring 2013,30,Yes,734,Otisco St,930643.980942355,1109362.6049962,43.0439436694935,-76.1702041583707,-8479228.59683499,5318664.22752708
27279,74323,"Hackberry, Common",Celtis occidentalis,18,Near Westside,To Be Determined,40,Yes,300,Shonnard St,932200.381047998,1108441.39221798,43.0413949389,-76.1643991643,-8478582.38762078,5318276.01494602
27280,75536,"Maple, Norway",Acer platanoides,31,Elmwood,To Be Determined,51,Yes,112,Eastman Ave,933347.076751,1101322.70574,43.0218473284906,-76.1602439622563,-8478119.8323317,5315299.1358465
27281,75537,"Oak, Chestnut",Quercus prinus,1,Elmwood,Spring 2019,51,Yes,113,May Ave,933281.468293428,1101514.62576146,43.0223748148125,-76.1604856888472,-8478146.74122582,5315379.45357748
27282,73914,persian parrotia,Parrotia persica,2,Near Westside,Spring 2013,30,Yes,734,Otisco St,930616.26432526,1109354.75324515,43.0439225005755,-76.1703079854644,-8479240.15481774,5318661.0030937
27283,74324,"Hackberry, Common",Celtis occidentalis,17,Near Westside,To Be Determined,40,Yes,304,Shonnard St,932148.391994006,1108438.80891098,43.0413885627,-76.1645936854,-8478604.04162129,5318275.0437667
27284,73915,"lilac, Japanese tree",Syringa reticulata,3,Near Westside,Fall 2015,30,Yes,734,Otisco St,930598.286561611,1109349.33277292,43.0439078709049,-76.1703753365774,-8479247.65231164,5318658.77471417
27285,74709,"Maple, Silver",Acer saccharinum,38,Near Westside,To Be Determined,39,Yes,218,Barrett St,930981.922064999,1107285.43912399,43.038239898,-76.1689783394,-8479092.13919682,5317795.47383034
27286,75538,Tree Of Heaven,Ailanthus altissima,39,Elmwood,To Be Determined,51,Yes,1331,Colvin St W,933277.313457,1101726.191165,43.0229553537193,-76.1604972421744,-8478148.0273416,5315467.85016219
27287,74325,"Ash, Green",Fraxinus pennsylvanica,17,Near Westside,To Be Determined,40,Yes,308,Shonnard St,932096.887310991,1108437.67870998,43.0413861665,-76.1647863676,-8478625.49090501,5318274.67879034
27288,74326,DNP Hold,Planting site - DNP Hold,0,Near Westside,N/A,40,Yes,310,Shonnard St,932031.981722,1108430.251706,43.0413666763887,-76.1650292951697,-8478652.53349075,5318271.7101979
27289,74710,"Ash, Green",Fraxinus pennsylvanica,30,Near Westside,To Be Determined,39,Yes,224,Sabine St,931024.325215995,1107251.36515999,43.0381458335,-76.1688203613175,-8479074.55315321,5317781.14734812
27290,75539,"Spruce, White",Picea glauca,11,Elmwood,To Be Determined,51,Yes,1320,Colvin St W,933276.005647,1101816.25103,43.0232024730683,-76.1605004369744,-8478148.38298731,5315505.47839601
27291,73916,"lilac, Japanese tree",Syringa reticulata,2,Near Westside,Spring 2013,30,Yes,740,Otisco St,930576.986395451,1109342.0193131,43.0438880921703,-76.1704551509526,-8479256.53720995,5318655.7620343
27292,74327,"honeylocust, thornless",Gleditsia triacanthos inermis,24,Near Westside,To Be Determined,40,Yes,312,Shonnard St,931987.096763015,1108427.668399,43.041360202,-76.1651972422,-8478671.22927759,5318270.72406841
27293,74711,"Maple, Silver",Acer saccharinum,31,Near Westside,To Be Determined,39,Yes,504,Delaware St,930910.745347015,1107047.67859896,43.0375885083,-76.1692489598,-8479122.26452968,5317696.26441201
27294,75540,"Maple, Silver",Acer saccharinum,30,Elmwood,To Be Determined,51,Yes,1402,Colvin St W,933219.683765,1101807.345433,43.0231788163098,-76.1607112227886,-8478171.84756418,5315501.87623378
27295,74328,Needs Approval,Planting Site - Needs Approval,0,Near Westside,N/A,40,Yes,316,Shonnard St,931908.060703578,1108426.0617772,43.04135687366,-76.1654929183584,-8478704.14380464,5318270.21711378
27296,74712,"Maple, Norway",Acer platanoides,27,Near Westside,To Be Determined,39,Yes,229,Sabine St,930953.148498015,1107028.74861998,43.0375359954,-76.1690907035,-8479104.647511,5317688.26651701
27297,75541,"Maple, Norway",Acer platanoides,30,Elmwood,To Be Determined,51,Yes,1501,Colvin St W,932921.258308,1101641.54084,43.02272800617,-76.1618303101118,-8478296.42383163,5315433.23265549
27298,74713,"honeylocust, thornless",Gleditsia triacanthos inermis,18,Near Westside,To Be Determined,39,Yes,217,Sabine St,931185.230030019,1107267.26634499,43.0381872808,-76.1682182098,-8479007.521937,5317787.45997505
27299,73917,Tulip Tree,Liriodendron tulipifera,-1,Near Westside,Spring 2013,30,Yes,623,Otisco St,931291.520644,1109539.074581,43.0444190858135,-76.1677785685039,-8478958.58132288,5318736.64287038
27300,74329,Needs Approval,Planting Site - Needs Approval,0,Near Westside,N/A,40,Yes,318,Shonnard St,931854.379365,1108419.27265,43.0413389790286,-76.1656938477879,-8478726.51117348,5318267.49153139
27301,75542,Amur maackia,Maackia amurensis,1,Elmwood,Fall 2013,51,Yes,114,Clyde Ave,932921.258308,1101589.60765,43.0225855147181,-76.1618312849058,-8478296.53234404,5315411.53599424
27302,75543,"honeylocust, thornless",Gleditsia triacanthos inermis,2,Elmwood,Fall 2013,51,Yes,122,Clyde Ave,932923.804053,1101505.59807,43.0223549787507,-76.1618233419652,-8478295.64813772,5315376.43321775
27303,73918,London Planetree,Platanus x acerifolia,6,Near Westside,To Be Determined,30,Yes,621,Otisco St,931325.034774,1109550.83675,43.044450902816,-76.1676529797227,-8478944.60083946,5318741.48925129
27304,74330,Ginkgo,Ginkgo biloba,21,Near Westside,N/A,40,Yes,320,Shonnard St,931821.765113993,1108415.72059998,43.0413296783,-76.1658159123,-8478740.09934019,5318266.07490654
27305,74714,"honeylocust, thornless",Gleditsia triacanthos inermis,19,Near Westside,To Be Determined,39,Yes,215,Sabine St,931224.301379842,1107310.11885543,43.0383043267425,-76.1680712722225,-8478991.16491099,5317805.28667223
27306,73919,Tulip Tree,Liriodendron tulipifera,2,Near Westside,Spring 2013,30,Yes,619,Otisco St,931366.605186,1109563.726802,43.0444857047944,-76.1674972326449,-8478927.26314876,5318746.79030813
