FID,ID,SPP_COM,SPP_BOT,DBH,AREA,PLANTDATE,CENSUSTRAC,ARPA,ADDRESS,STREET,X,Y,LATITUDE,LONGITUDE,x2,y2
1,46323,Needs Approval,Planting Site - Needs Approval,0,Meadowbrook,N/A,46,No,118,Ramsey Ave,947294.49,1108134.19,43.0403314552206,-76.1079441840732,-8472297.84592937,5318114.03441271
2,46725,"Maple, Silver",Acer saccharinum,42,University Neighborhood,To Be Determined,45,Yes,819,Maryland Ave,944035.59,1106570.75,43.0360917964012,-76.1201665694974,-8473658.43605528,5317468.31310051
3,46324,Stump - Do not grind,Stump - Do not grind,4,Outer Comstock,To Be Determined,56.01,No,318,Goodrich Ave,942311.800000006,1099286.82999999,43.0161325921,-76.1267622146,-8474392.65998225,5314429.02564334
4,46325,Needs Approval,Planting Site - Needs Approval,0,Outer Comstock,N/A,56.01,No,325,Goodrich Ave,942366.91,1099105.18,43.0156333702737,-76.1265598469329,-8474370.13250256,5314353.01932162
5,46726,"Maple, Norway",Acer platanoides,15,Meadowbrook,To Be Determined,46,No,313,Albert Rd,951600.999999995,1109472.65999999,43.0439357809,-76.0918061457,-8470501.36716113,5318663.02642651
6,46326,Stump,Stump,17,Outer Comstock,To Be Determined,56.01,No,321,Goodrich Ave,942354.630000022,1099272.59999999,43.0160929097,-76.1266023584,-8474374.86486019,5314422.98400386
7,46727,"Maple, Norway",Acer platanoides,13,Meadowbrook,To Be Determined,46,No,313,Albert Rd,951600.639999998,1109513.77999999,43.044048608,-76.0918065916238,-8470501.41680575,5318680.21217287
8,46327,"Maple, Red",Acer rubrum,14,Outer Comstock,To Be Determined,56.01,No,301,Goodrich Ave,942333.740000007,1099589.66999998,43.0169631776,-76.1266740217,-8474382.84239296,5314555.48333819
9,46728,"Maple, Silver",Acer saccharinum,27,University Neighborhood,To Be Determined,45,Yes,819,Maryland Ave,944035.2,1106584.91,43.0361306534295,-76.1201677360237,-8473658.56591277,5317474.23101762
10,46328,"Fir, White",Abies concolor,12,Outer Comstock,To Be Determined,56.01,No,245,Goodrich Ave,942336.420000011,1099668.71,43.0171800025,-76.1266623937,-8474381.54797367,5314588.49547494
11,46729,"hornbeam, American",Carpinus caroliniana,13,Brighton,To Be Determined,59,Yes,254,Matson Ave W,936825.25,1098167.22,43.0131406676032,-76.1472987442196,-8476678.77671314,5313973.5154326
12,46730,Needs Approval,Planting Site - Needs Approval,0,Eastwood,N/A,19,No,447,Clover Ridge Dr,951369.57,1115728.36,43.0611032886985,-76.0925350239251,-8470582.50568768,5321278.33364125
13,46731,"Linden, Littleleaf",Tilia cordata,5,Southside,To Be Determined,53,Yes,564,Oakwood Ave,937539.88,1105070.5,43.0320712571016,-76.1444919101697,-8476366.32143364,5316856.00592445
14,46732,"Maple, Silver",Acer saccharinum,22,North Valley,To Be Determined,61.01,Yes,416,Monticello Dr N,939172,1095136.48,43.0047913301395,-76.1385844229754,-8475708.70252634,5312702.47528229
15,46733,DNP Property Owner Rejection,Planting site - DNP Property Owner Rejection,0,North Valley,N/A,61.01,Yes,223,Monticello Dr N,939108.88,1094366.85,43.0026805774517,-76.1388356162302,-8475736.66522293,5312381.17755821
16,46734,"Maple, Norway",Acer platanoides,16,South Valley,To Be Determined,61.03,Yes,217,Monticello Dr S,939095.82,1092384.3,42.9972411494044,-76.1389236440331,-8475746.46439078,5311553.24140391
17,46735,"honeylocust, thornless",Gleditsia triacanthos inermis,19,South Valley,To Be Determined,61.03,Yes,207,Monticello Dr S,939151.99,1092667.08,42.9980162113459,-76.1387080887848,-8475722.46888904,5311671.20922112
18,46736,"honeylocust, thornless",Gleditsia triacanthos inermis,19,South Valley,To Be Determined,61.03,Yes,207,Monticello Dr S,939151.4,1092690.8,42.9980813016364,-76.1387098249624,-8475722.66216005,5311681.11631561
19,46737,"Ash, Green",Fraxinus pennsylvanica,10,Southside,To Be Determined,53,Yes,564,Oakwood Ave,937554.54,1105032.96,43.0319680470509,-76.1444378146128,-8476360.29954098,5316840.28810404
20,46738,"Maple, Norway",Acer platanoides,18,Brighton,To Be Determined,59,Yes,3430,Salina St S,938368.41,1098618.43,43.0143565449651,-76.1415201090647,-8476035.50179257,5314158.62588695
21,46739,"Maple, Norway",Acer platanoides,11,Brighton,To Be Determined,59,Yes,3430,Salina St S,938345.34,1098621.12,43.0143642585769,-76.1416063148666,-8476045.09818171,5314159.80025167
22,46740,"Maple, Norway",Acer platanoides,15,Brighton,To Be Determined,59,Yes,3430,Salina St S,938319.5,1098619.55,43.0143603237468,-76.1417029614747,-8476055.85683636,5314159.20118956
23,46741,"Maple, Norway",Acer platanoides,18,Brighton,To Be Determined,59,Yes,116,Ostrander Ave W,938218.01,1098613.87,43.0143462028991,-76.1420825440777,-8476098.11179197,5314157.05134724
24,46742,"Maple, Sugar",Acer saccharum,11,Brighton,To Be Determined,59,Yes,122,Ostrander Ave W,938185.24,1098611.35,43.0143397609825,-76.1422051205443,-8476111.75694617,5314156.0705918
25,46743,"Maple, Norway",Acer platanoides,15,Brighton,To Be Determined,59,Yes,122,Ostrander Ave W,938160.65,1098606.31,43.0143262868504,-76.1422971614637,-8476122.00289765,5314154.01921168
26,46744,"hornbeam, American",Carpinus caroliniana,10,Eastwood,To Be Determined,19,No,345,Clover Ridge Dr,951317.580000021,1116534.57999999,43.0633161486,-76.0927119224,-8470602.19795624,5321615.49516866
27,46745,"Cherry, Ornamental",Prunus spp.,2,Eastwood,To Be Determined,19,No,320,Clover Ridge Dr,951259.030000016,1116793.50999998,43.0640275138,-76.0929253506,-8470625.95669408,5321723.88462107
28,46746,"Maple, Sugar",Acer saccharum,15,Brighton,To Be Determined,59,Yes,138,Ostrander Ave W,937991.73,1098598.11,43.0143062202156,-76.1429289136914,-8476192.3292565,5314150.96414842
29,46747,"Maple, Norway",Acer platanoides,22,University Neighborhood,To Be Determined,45,Yes,846,Maryland Ave,944017.32,1106309.3,43.0353747263692,-76.1202402990769,-8473666.64359117,5317359.10415975
30,46748,"Maple, Norway",Acer platanoides,17,Brighton,To Be Determined,59,Yes,142,Ostrander Ave W,937950.13,1098596.85,43.0143033615076,-76.1430844806376,-8476209.6468953,5314150.52892147
31,46749,"Maple, Norway",Acer platanoides,16,Brighton,To Be Determined,59,Yes,160,Ostrander Ave W,937765.44,1098586.77,43.0142783587553,-76.1437752331557,-8476286.54113851,5314146.72235666
32,46750,"Maple, Norway",Acer platanoides,15,Brighton,To Be Determined,59,Yes,150,Ostrander Ave W,937872.6,1098592.44,43.0142923762915,-76.1433744514023,-8476241.9263035,5314148.856468
33,46751,"Maple, Tatarian",Acer tataricum,4,Southside,To Be Determined,42,Yes,212,Van Buren St,937430.26,1107006.7,43.0373852452342,-76.1448640772856,-8476407.75094542,5317665.30694333
34,46752,"Maple, Tatarian",Acer tataricum,4,Southside,To Be Determined,42,Yes,212,Van Buren St,937455.58,1107005.52,43.0373816447491,-76.1447693934594,-8476397.21078666,5317664.75857944
35,46753,"Hackberry, Common",Celtis occidentalis,18,Southside,To Be Determined,54,Yes,212,Elizabeth St,938486.949999986,1103146.72999998,43.026779306,-76.1409877038,-8475976.23479651,5316050.13072226
36,46754,"Maple, Norway",Acer platanoides,17,Brighton,To Be Determined,59,Yes,172,Ostrander Ave W,937671.52,1098581.1,43.0142641498553,-76.144126510452,-8476325.64516078,5314144.5591118
37,46755,"lilac, Japanese tree",Syringa reticulata,1,University Neighborhood,Fall 2016,45,Yes,115,Westminster Ave,943798.15,1106049.54,43.0346653306035,-76.1210654023169,-8473758.49368744,5317251.06525196
38,46756,"Maple, Silver",Acer saccharinum,25,University Neighborhood,To Be Determined,45,Yes,101,Westminster Ave,943740.38,1106155.48,43.0349568733268,-76.1212792941447,-8473782.30402693,5317295.46620453
39,47129,London Planetree,Platanus x acerifolia,6,Southside,Fall 2011,53,Yes,515,Oakwood Ave,937445.89,1105756.74,43.0339554647056,-76.1448300348696,-8476403.96133101,5317142.95585301
40,46757,"Maple, Silver",Acer saccharinum,40,University Neighborhood,To Be Determined,45,Yes,104,Westminster Ave,943724.82,1106097.73,43.0347986581807,-76.1213386808752,-8473788.91492834,5317271.37055548
41,46758,"Maple, Norway",Acer platanoides,22,University Neighborhood,To Be Determined,45,Yes,104,Westminster Ave,943790,1105983.92,43.0344854105151,-76.1210972364063,-8473762.0374417,5317223.66414646
42,46759,"Maple, Tatarian",Acer tataricum,4,Southside,To Be Determined,42,Yes,212,Van Buren St,937546.11,1107012.26,43.0373988394046,-76.1444306434381,-8476359.50129474,5317667.37737848
43,46760,Needs Approval,Planting Site - Needs Approval,0,North Valley,N/A,61.01,Yes,235,Seneca Tpke E,939092.99,1093534.44,43.0003968854675,-76.1389114798348,-8475745.11030438,5312033.56753383
44,46761,"buckthorn, common",Rhamnus cathartica,6,South Valley,To Be Determined,61.03,Yes,5316,Salina St S,937588.679999994,1090776.83999999,42.9928524124,-76.1445886528,-8476377.09045378,5310885.28447989
45,46763,"Poplar, Spp.",Populus spp.,27,Eastwood,To Be Determined,19,No,313,Boston St,951953.99,1116923.97,43.0643742829927,-76.090321949637,-8470336.1473326,5321776.72170483
46,46764,"Maple, Silver",Acer saccharinum,23,Eastwood,To Be Determined,19,No,301,Boston St,951944.06,1117048.88,43.0647171583698,-76.0903563616427,-8470339.97806367,5321828.96576618
47,46765,Basswood / Linden,Tilia americana,5,Eastwood,Fall 2012,19,No,138,Mosley Dr,949037.210000008,1118174.91999999,43.0678530169,-76.1012096841,-8471548.1648049,5322306.79130696
48,46766,"Linden, Crimean",Tilia euchlora Crimean,1,Eastwood,Fall 2012,17.02,No,301,Greenway Ave,944177.07,1113561.4,43.0552700304938,-76.1194929019527,-8473583.44386376,5320389.60971586
49,46767,"honeylocust, thornless",Gleditsia triacanthos inermis,10,Brighton,To Be Determined,54,Yes,120,McAllister Ave,938303.569999993,1101499.19999998,43.0222615651,-76.1417059038,-8476056.18444204,5315362.20966909
50,46768,Stump,Stump,21,Salt Springs,N/A,36.02,No,200,Lime St,950940.19,1113061.89,43.0537941665022,-76.0941998380264,-8470767.83194436,5320164.76859456
51,46769,"Maple, Norway",Acer platanoides,19,Brighton,To Be Determined,54,Yes,2420,State St S,938371.170000003,1101308.78999999,43.0217381542,-76.1414568618,-8476028.46119665,5315282.51262227
52,46770,Needs Approval,Planting Site - Needs Approval,0,Brighton,N/A,54,Yes,2411,State St S,938380.697867747,1101402.62502678,43.0219954754222,-76.1414193862952,-8476024.28944553,5315321.6934933
53,46771,"Crabapple, Spp.",Malus spp.,4,Eastwood,To Be Determined,19,No,511,Edwards Ave S,947929.03,1115101.04,43.0594365949941,-76.1054222640968,-8472017.10715112,5321024.39647054
54,46772,"lilac, Japanese tree",Syringa reticulata,2,Eastwood,To Be Determined,19,No,417,Midler Ave S,948209.17,1115790.74,43.0613245465723,-76.1043593293559,-8471898.7817746,5321312.04488899
55,46773,"Hackberry, Common",Celtis occidentalis,20,University Neighborhood,To Be Determined,56.01,No,101,Sherman Pl,945888.38,1102843.51,43.0258370256115,-76.1133146135644,-8472895.67947751,5315906.64470758
56,46774,"Elm, American",Ulmus americana,2,Eastwood,To Be Determined,19,No,2402,Burnet Ave,948586.45,1114799.68,43.0585994527946,-76.1029688393871,-8471743.99306644,5320896.85228604
57,46775,Japanese pagodatree,Styphnolobium japonicum,11,Brighton,To Be Determined,54,Yes,2411,State St S,938375.069999994,1101421.52,43.0220473995,-76.1414400597,-8476026.59079779,5315329.59971046
58,46776,"Maple, Norway",Acer platanoides,13,Brighton,To Be Determined,54,Yes,124,Amherst Ave,937934.420000016,1101830.1,43.0231747866,-76.1430798452,-8476209.13095096,5315501.26274093
59,46777,"Maple, Silver",Acer saccharinum,14,Brighton,To Be Determined,54,Yes,128,Amherst Ave,937975.410000013,1101834.54999998,43.0231864065,-76.1429264744,-8476192.05778673,5315503.03207752
60,46778,Needs Approval,Planting Site - Needs Approval,0,Brighton,N/A,54,Yes,130,Amherst Ave,938013.72,1101839.01,43.0231980921649,-76.1427831252782,-8476176.10023382,5315504.81143503
61,46779,"Maple, Sugar",Acer saccharum,28,Eastwood,To Be Determined,18,No,161,Stafford Ave,946020.53,1117745.89,43.0667228886439,-76.1125078093794,-8472805.86676006,5322134.58542681
62,46780,DNP,Planting site - DNP,0,Southwest,To Be Determined,52,Yes,667,South Ave,933739.530000003,1105115.79999999,43.0322491668,-76.1587046683,-8477948.47894751,5316883.09969683
63,46781,DNP,Planting site - DNP,0,Southwest,To Be Determined,52,Yes,661,South Ave,933736.490000007,1105174.29999999,43.0324097177,-76.1587149317,-8477949.621459,5316907.55006606
64,46782,"Maple, Red",Acer rubrum,17,North Valley,To Be Determined,60,No,234,Evaleen Ave,935757.94,1096736.63,43.0092306238419,-76.1513168528873,-8477126.07063573,5313378.25830657
65,46783,"Ash, Green",Fraxinus pennsylvanica,24,Brighton,To Be Determined,54,Yes,236,Brighton Ave W,936700.000000002,1100757.61999999,43.0202498432,-76.1477168080239,-8476725.31543754,5315055.89895059
66,46784,"Maple, Red",Acer rubrum,17,Outer Comstock,To Be Determined,56.01,No,228,Arnold Ave,942592.000000003,1099859.66999998,43.0177001289,-76.1257028478,-8474274.73178588,5314667.68653605
67,46785,"Maple, Norway",Acer platanoides,17,Outer Comstock,To Be Determined,56.01,No,215,Holmes St,942599.369999997,1099794.37999999,43.0175208803,-76.1256766203652,-8474271.81215483,5314640.3952362
68,46786,"honeylocust, thornless",Gleditsia triacanthos inermis,25,Outer Comstock,To Be Determined,56.01,No,215,Holmes St,942578.670000005,1099684.01999999,43.0172183912,-76.1257562698,-8474280.678689,5314594.3402763
69,46787,"honeylocust, thornless",Gleditsia triacanthos inermis,27,Outer Comstock,To Be Determined,56.01,No,215,Holmes St,942538.190000005,1099684.76999999,43.017221054,-76.1259076159,-8474297.52646488,5314594.74570089
70,46788,"honeylocust, thornless",Gleditsia triacanthos inermis,10,Brighton,To Be Determined,54,Yes,2300,State St S,938141.150000011,1101848.81,43.0232231455,-76.1423064038,-8476123.03182199,5315508.62625643
71,46789,Needs Approval,Planting Site - Needs Approval,0,Brighton,N/A,54,Yes,2307,State St S,938248.09,1101788.21,43.0230553332859,-76.141907688948,-8476078.64707462,5315483.07389262
72,46790,"honeylocust, thornless",Gleditsia triacanthos inermis,18,Brighton,To Be Determined,54,Yes,2301,State St S,938265.019999994,1101861.27999997,43.023255574,-76.1418429422,-8476071.43949509,5315513.56407733
73,46791,"honeylocust, thornless",Gleditsia triacanthos inermis,18,Brighton,To Be Determined,54,Yes,2301,State St S,938297.990000012,1101863.07,43.0232600096,-76.1417196144,-8476057.7107031,5315514.23948141
74,46792,"Maple, Norway",Acer platanoides,21,Eastwood,To Be Determined,18,No,153,Stafford Ave,946014.54,1117829.48,43.0669523272264,-76.1125284697269,-8472808.1666621,5322169.54638448
75,46793,Katsura Tree,Cercidiphyllum japonicum,21,Eastwood,To Be Determined,18,No,149,Stafford Ave,946013.71,1117869.37,43.067061786423,-76.112530738125,-8472808.41918002,5322186.22539674
76,46794,DNP,Planting site - DNP,0,Southwest,To Be Determined,52,Yes,661,South Ave,933736.000000007,1105201.11999999,43.0324833116,-76.158716257,-8477949.76899607,5316918.75773133
77,46795,"Cedar, Eastern Red",Juniperus virginiana,4,Southwest,To Be Determined,52,Yes,239,Hudson St,933416.11,1105133.3,43.0323016637979,-76.1599139593222,-8478083.09664892,5316891.09447581
78,46796,"Cottonwood, Eastern",Populus deltoides,15,South Valley,To Be Determined,61.03,Yes,400,Parrish Ln,939557.81,1088199.49,42.9857523526306,-76.1372797863599,-8475563.47083649,5309804.77078389
79,46797,"Cottonwood, Eastern",Populus deltoides,16,South Valley,To Be Determined,61.03,Yes,400,Parrish Ln,939563.86,1088199.08,42.9857511395759,-76.1372571840556,-8475560.95475866,5309804.58618747
80,46798,"Pine, White",Pinus strobus,25,South Valley,To Be Determined,61.03,Yes,108,Windemere Rd,939473.99,1090413.49,42.9918282418917,-76.1375491467712,-8475593.45596079,5310729.4147043
81,46799,"honeylocust, thornless",Gleditsia triacanthos inermis,21,South Valley,To Be Determined,61.03,Yes,405,Sunrise Dr,939522.76,1090895.78,42.9931508154909,-76.1373572944448,-8475572.09906167,5310930.69935558
82,46800,"Maple, Sugar",Acer saccharum,13,Eastwood,To Be Determined,19,No,144,Cresline Dr,949460.510000003,1116427.97,43.063053223371,-76.099663284,-8471376.02023698,5321575.43398357
83,46801,"Cedar, White arbor",Thuja occidentalis,4,Southwest,To Be Determined,52,Yes,239,Hudson St,933415.52,1105149.3,43.0323455718031,-76.1599158641908,-8478083.30869836,5316897.78124292
84,46802,"Cedar, White arbor",Thuja occidentalis,4,Southwest,To Be Determined,52,Yes,239,Hudson St,933413.78,1105167.04,43.0323942698281,-76.1599220373604,-8478083.99589308,5316905.19748956
85,46803,Osage Orange,Maclura pomifera,2.5,North Valley,Fall 2022,60,No,901,Ballantyne Rd,935193.229978087,1096941.27395424,43.0098000651489,-76.1534242145419,-8477360.6611426,5313464.94652121
86,46804,Stump,Stump,15,Brighton,To Be Determined,58,Yes,101,Berger Ave,934990.75,1099414.09,43.0165876883191,-76.1541339877455,-8477439.67281657,5314498.31423889
87,46805,"Maple, Norway",Acer platanoides,13,Brighton,To Be Determined,58,Yes,196,Berger Ave,934984.92,1098344.8,43.013653909573,-76.1541762172615,-8477444.37376173,5314051.65311639
88,46806,"honeylocust, thornless",Gleditsia triacanthos inermis,21,Southside,To Be Determined,42,Yes,218,New St,936395.58,1107740.27,43.0394127273429,-76.1487199889488,-8476836.98922401,5317974.10352499
89,46807,"Cherry, Ornamental",Prunus spp.,5,Southwest,To Be Determined,52,Yes,221,Hudson St,933399.24,1105336.58,43.0328596446756,-76.1599732210347,-8478089.69363939,5316976.06995529
90,46808,"Maple, Paperbark",Acer griseum,5,Eastwood,To Be Determined,10,Yes,155,Lynwood Ave,948918.56,1119202.15,43.0706732978495,-76.1016316289878,-8471595.13553883,5322736.5517375
91,46809,London Planetree,Platanus x acerifolia,9,Westcott,To Be Determined,45,Yes,1012,Euclid Ave,945067.520000006,1106858.34999999,43.0368652053,-76.1163008518,-8473228.10619607,5317586.10384669
92,46810,"Magnolia, Saucer",Magnolia x 'Soulangiana',2,Westcott,To Be Determined,45,Yes,1016,Euclid Ave,945136.674519811,1106862.03067409,43.0368742483,-76.1160421129,-8473199.30350826,5317587.4810979
93,46811,Hornbeam/ Hop Hornbe,Ostrya virginiana,1.75,North Valley,Fall 2022,60,No,649,Ballantyne Rd,935732.825714656,1097094.59526439,43.0102131446633,-76.1514038653746,-8477135.75683287,5313527.83171067
94,46812,Needs Approval,Planting Site - Needs Approval,0,Outer Comstock,N/A,56.01,No,2,Daybreak Ln,941871.98,1101321.46,43.0217216260077,-76.1283655302224,-8474571.1403628,5315279.99604984
95,46813,"Pear, Callery",Pyrus calleryana,8,Lakefront,To Be Determined,1,No,351,Kirkpatrick St W,931913.93,1114797.76,43.0588390351544,-76.1653522679103,-8478688.48681014,5320933.35369389
96,46814,"Maple, Norway",Acer platanoides,16,Brighton,To Be Determined,58,Yes,196,Berger Ave,934985.79,1098328.27,43.0136085432373,-76.154173280172,-8477444.04680595,5314044.74636282
97,46815,"honeylocust, thornless",Gleditsia triacanthos inermis,27,Southside,Fall 2005,54,Yes,1814,State St S,937706.609999998,1103189.19999999,43.0269070744,-76.1439051517917,-8476301.00372539,5316069.58686829
98,46816,"Oak, Bur / Mossy-cup",Quercus macrocarpa,10,Westcott,To Be Determined,45,Yes,1020,Euclid Ave,945165.879999996,1106864.75999999,43.0368812907,-76.1159328173059,-8473187.13677148,5317588.55367259
99,46817,Stump,Stump,10,Meadowbrook,To Be Determined,46,No,158,Edgehill Rd,948323.256367125,1109418.30311001,43.0438386453487,-76.1040686016271,-8471866.41795488,5318648.23075221
100,46818,"Maple, Boxelder",Acer negundo,2,North Valley,To Be Determined,60,No,328,Loomis Ave,935120.98,1096140.33,43.0076034901001,-76.1537096538824,-8477392.4360965,5313130.55792944
101,46819,"Elm, Siberian",Ulmus pumila,9,North Valley,To Be Determined,60,No,300,Shirley Dr,934641.874108857,1096831.26103597,43.0095059415687,-76.1554876797949,-8477590.36511557,5313420.17085082
102,46820,Hornbeam/ Hop Hornbe,Ostrya virginiana,12,Brighton,To Be Determined,58,Yes,615,Newell St W,934714.46,1099344.01,43.0163992760445,-76.1551684108506,-8477554.82430553,5314469.62825225
103,46821,"Linden, Littleleaf",Tilia cordata,14,Brighton,To Be Determined,58,Yes,169,Vale St,934407.8,1098832.57,43.0150002980109,-76.1563247753569,-8477683.5502434,5314256.6350224
104,46822,"Crabapple, Spp.",Malus spp.,9,Brighton,To Be Determined,58,Yes,159,Vale St,934404.58,1098935.28,43.0152821531913,-76.1563348625798,-8477684.67315064,5314299.54684492
105,46823,"lilac, common",Syringa vulgaris,8,Brighton,To Be Determined,60,No,121,Conan St,936190.15,1097479.67,43.0112632268896,-76.1496866104373,-8476944.59283473,5313687.69293666
106,46824,"Cedar, White arbor",Thuja occidentalis,3,Meadowbrook,To Be Determined,46,No,805,Demong Dr,953961.280000016,1109519.27999997,43.0440254311,-76.0829758548,-8469518.38335738,5318676.68193399
107,46825,Stump,Stump,14,Southwest,To Be Determined,52,Yes,125,Onondaga Ave,932208.55000001,1105484.80999998,43.0332827364,-76.1644237931,-8478585.1292234,5317040.50350912
108,46826,"Maple, Norway",Acer platanoides,16,Meadowbrook,To Be Determined,46,No,501,Brookford Rd,950216.54,1106199.88,43.0349783387543,-76.0970560098947,-8471085.77948758,5317298.73547295
109,46827,"serviceberry, downy",Amelanchier arborea,5,Meadowbrook,To Be Determined,46,No,403,Brookford Rd,949555.6,1106878.67,43.0368512222946,-76.0995134448883,-8471359.34000383,5317583.97430854
110,46828,Stump,Stump,21,Southwest,To Be Determined,52,Yes,125,Onondaga Ave,932176.580000007,1105482.08999999,43.033275711,-76.1645434168,-8478598.4456681,5317039.43359532
111,46829,"honeylocust, thornless",Gleditsia triacanthos inermis,12,Lakefront,To Be Determined,1,No,425,Solar St,932524.85,1116011.93,43.0621620152251,-76.163043627643,-8478431.49009604,5321439.64413496
112,46830,"Maple, Norway",Acer platanoides,22,University Neighborhood,To Be Determined,45,Yes,122,Westminster Ave,943836.93,1105898.57,43.0342505245495,-76.1209234665882,-8473742.69346581,5317187.89208127
113,46831,"Maple, Norway",Acer platanoides,12,Brighton,To Be Determined,59,Yes,1141,Cannon St,937429.48,1098879.24,43.0150856387171,-76.145025679156,-8476425.74020226,5314269.62800351
114,46832,"Maple, Norway",Acer platanoides,17,Brighton,To Be Determined,59,Yes,1137,Cannon St,937428.85,1098915.17,43.0151842304235,-76.145027333642,-8476425.92437968,5314284.63836936
115,46833,"Maple, Norway",Acer platanoides,23,University Neighborhood,To Be Determined,45,Yes,140,Westminster Ave,943893.31,1105796.99,43.0339709647992,-76.1207146878657,-8473719.45231488,5317145.31658013
116,46834,"Linden, Littleleaf",Tilia cordata,29,University Neighborhood,To Be Determined,45,Yes,200,Westminster Ave,944099.11,1105421.83,43.0329385150569,-76.1199527036083,-8473634.6285793,5316988.0815158
117,46835,London Planetree,Platanus x acerifolia,22,University Neighborhood,To Be Determined,45,Yes,200,Westminster Ave,944124.06,1105371.14,43.0327990577797,-76.1198604343015,-8473624.35720256,5316966.84332495
118,46836,"Maple, Norway",Acer platanoides,17,Brighton,To Be Determined,59,Yes,1127,Cannon St,937427.59,1098990.81,43.0153917851792,-76.1450305688656,-8476426.28452499,5314316.2381935
119,46837,"Linden, Silver",Tilia tomentosa,3,North Valley,To Be Determined,61.01,Yes,308,Glen Ave E,938885.33,1095309.89,43.0052712824628,-76.1396526910436,-8475827.62162615,5312775.53491974
120,46838,"Oak, Scarlet",Quercus coccinea,32,South Valley,To Be Determined,61.02,Yes,681,Seneca Tpke E,942439,1093364.00999998,42.9998800191,-76.1264070706,-8474353.1253843,5311954.89507765
121,46839,Honeylocust,Gleditsia triacanthos,24,South Valley,To Be Determined,61.02,Yes,681,Seneca Tpke E,942350.640000008,1093398.66999996,42.9999764354,-76.1267366661,-8474389.81580036,5311969.57060339
122,46840,"honeylocust, thornless",Gleditsia triacanthos inermis,35,South Valley,To Be Determined,61.02,Yes,681,Seneca Tpke E,942336.570000001,1093407.01000001,42.999999528,-76.126789092,-8474395.65182835,5311973.08553652
123,46841,"honeylocust, thornless",Gleditsia triacanthos inermis,29,South Valley,To Be Determined,61.02,Yes,681,Seneca Tpke E,942294.349999988,1093425.25,43.0000502033,-76.1269465451,-8474413.17942681,5311980.79883847
124,46842,"honeylocust, thornless",Gleditsia triacanthos inermis,26,South Valley,To Be Determined,61.02,Yes,681,Seneca Tpke E,942275.06000001,1093432.03,43.000069093391,-76.1270185158,-8474421.19117595,5311983.67410537
125,46843,"honeylocust, thornless",Gleditsia triacanthos inermis,23,South Valley,To Be Determined,61.02,Yes,681,Seneca Tpke E,942262.360000005,1093433.91999999,43.0000744683,-76.1270659516,-8474426.47170841,5311984.4922263
126,46844,"honeylocust, thornless",Gleditsia triacanthos inermis,27,South Valley,To Be Determined,61.02,Yes,681,Seneca Tpke E,942250.900000008,1093440.17999998,43.0000918149,-76.1271086635,-8474431.22636978,5311987.1325597
127,46845,"Oak, White",Quercus alba,39,South Valley,To Be Determined,61.02,Yes,661,Seneca Tpke E,942021.540000011,1093534,43.000352647272,-76.1279641392,-8474526.45752224,5312026.8340536
128,46846,"Oak, White",Quercus alba,36,South Valley,To Be Determined,61.02,Yes,657,Seneca Tpke E,942008.509999996,1093535.56999997,43.0003571487,-76.1280128153609,-8474531.87613256,5312027.51922469
129,46847,"Willow, Weeping",Salix babylonica,51,South Valley,To Be Determined,61.02,Yes,657,Seneca Tpke E,941920.939999999,1093569.45000001,43.0004514085,-76.1283394786,-8474568.24013175,5312041.86662542
130,46848,"Maple, Silver",Acer saccharinum,21,Meadowbrook,To Be Determined,46,No,901,Crawford Ave,946629.419999993,1104590.84999996,43.030619829,-76.1105065643,-8472583.08879944,5316634.97110723
131,46849,"Maple, Norway",Acer platanoides,17,Meadowbrook,To Be Determined,46,No,901,Crawford Ave,946617.77000001,1104655.72,43.0307979942551,-76.1105487688,-8472587.78698646,5316662.1032505
132,46850,"Maple, Norway",Acer platanoides,16,Meadowbrook,To Be Determined,46,No,901,Crawford Ave,946610.03999999,1104690.56999998,43.0308937324,-76.1105769449,-8472590.92354395,5316676.68289848
133,46851,"Maple, Norway",Acer platanoides,17,Meadowbrook,To Be Determined,46,No,901,Crawford Ave,946628.200000007,1104725.75999999,43.0309900034,-76.1105082856,-8472583.28042297,5316691.34371843
134,46852,Basswood / Linden,Tilia americana,29,South Valley,To Be Determined,61.02,Yes,162,Lafayette Rd,941175.690000016,1092928.93,42.998705025413,-76.1311382226,-8474879.79497398,5311776.05102893
135,46853,Tulip Tree,Liriodendron tulipifera,21,Meadowbrook,To Be Determined,46,No,901,Crawford Ave,946675.309999999,1104737.67999998,43.0310219805,-76.1103318434586,-8472563.63896429,5316696.21342366
136,46854,Basswood / Linden,Tilia americana,16,Meadowbrook,To Be Determined,46,No,135,Somerset Rd,946985.57999999,1104180.17999998,43.0294875538,-76.1091832103,-8472435.7736572,5316462.54286373
137,46855,"Maple, Norway",Acer platanoides,12,Meadowbrook,To Be Determined,46,No,131,Somerset Rd,946978.279999995,1104208.85999998,43.0295663568,-76.1092099059423,-8472438.74539872,5316474.54326548
138,46856,"Maple, Norway",Acer platanoides,8,Meadowbrook,To Be Determined,46,No,131,Somerset Rd,946978.800000011,1104228.67999999,43.0296207294,-76.1092075426,-8472438.48231536,5316482.82330935
139,46857,Needs Approval,Planting Site - Needs Approval,0,Meadowbrook,N/A,46,No,134,Somerset Rd,946945.94,1104208.34,43.0295654311011,-76.109330865447,-8472452.21055353,5316474.40228856
