FID,ID,SPP_COM,SPP_BOT,DBH,AREA,PLANTDATE,CENSUSTRAC,ARPA,ADDRESS,STREET,X,Y,LATITUDE,LONGITUDE,x2,y2,tree_name
29412,75958,"Maple, Norway",Acer platanoides,5.0,Sedgwick,To Be Determined,15,Yes,700,Oak St,939776.884044,1116187.951284,43.0625420901966,-76.1359037056423,-8475410.28682549,5321497.55440951,maple
29415,75959,"Maple, Norway",Acer platanoides,8.0,Sedgwick,To Be Determined,15,Yes,704,Oak St,939772.851088,1116233.604345,43.062667408266,-76.1359178857878,-8475411.86535363,5321516.64857042,maple
29427,75962,"Maple, Norway",Acer platanoides,16.0,Sedgwick,To Be Determined,15,Yes,710,Oak St,939756.3966,1116363.627,43.0630243942957,-76.1359768634652,-8475418.43072377,5321571.04116935,maple
29431,75963,"Maple, Norway",Acer platanoides,4.0,Sedgwick,To Be Determined,15,Yes,714,Oak St,939764.7852,1116411.7,43.0631561702711,-76.1359445146206,-8475414.8296668,5321591.11945219,maple
29521,75984,"Maple, Norway",Acer platanoides,16.0,Sedgwick,To Be Determined,15,Yes,818,Oak St,939739.556282,1116651.603604,43.0638147667478,-76.1360341348159,-8475424.80615006,5321691.46833084,maple
29627,76014,"Maple, Silver",Acer saccharinum,6.0,Sedgwick,To Be Determined,8,Yes,938,Oak St,939771.669649,1117287.860861,43.0655600060559,-76.1359012708408,-8475410.01580988,5321957.39177397,maple
29629,76015,"Maple, Silver",Acer saccharinum,7.0,Sedgwick,To Be Determined,8,Yes,938,Oak St,939788.342629,1117289.221921,43.065563496461,-76.1358388516152,-8475403.06733126,5321957.92361763,maple
29639,76018,"Oak, Red",Quercus rubra,10.0,Sedgwick,Fall 2011,8,Yes,900,Oak St,939773.960406,1116863.12798,43.0643946263034,-76.1359011739092,-8475410.00500971,5321779.82113389,oak
29655,76022,"Maple, Norway",Acer platanoides,3.0,Sedgwick,To Be Determined,8,Yes,926,Oak St,939722.870422,1117145.032261,43.0651688388387,-76.1360867316457,-8475430.66121563,5321897.78866783,maple
29673,76025,"Maple, Norway",Acer platanoides,16.0,Sedgwick,To Be Determined,8,Yes,1000,Oak St,939713.100881,1117337.255807,43.065696388427,-76.1361194562165,-8475434.3041038,5321978.17277728,maple
29687,76028,"Maple, Sugar",Acer saccharum,13.0,Sedgwick,To Be Determined,8,Yes,1036,Oak St,939714.902517,1117751.094482,43.0668318174902,-76.136104459887,-8475432.63472903,5322151.1834182,maple
29692,76029,"Maple, Sugar",Acer saccharum,18.0,Sedgwick,To Be Determined,8,Yes,1036,Oak St,939741.467839,1117752.400974,43.0668350135839,-76.1360050215069,-8475421.56529565,5322151.67042709,maple
29695,76030,"Oak, Red",Quercus rubra,26.0,Sedgwick,To Be Determined,8,Yes,1036,Oak St,939763.024945,1117754.360711,43.0668400751828,-76.1359243117479,-8475412.5807235,5322152.44169432,oak
29698,76031,"Oak, Black",Quercus velutina,19.0,Sedgwick,To Be Determined,8,Yes,1036,Oak St,939802.43743,1117756.320447,43.0668448754241,-76.1357767838559,-8475396.15798842,5322153.17313736,oak
29975,76093,"Maple, Norway",Acer platanoides,13.0,Sedgwick,To Be Determined,Unassigned,No,526,Oak St,939943.453305,1115306.950192,43.0601224338118,-76.1352980179382,-8475342.86193658,5321128.88970376,maple
29979,76094,"Maple, Norway",Acer platanoides,15.0,Sedgwick,To Be Determined,Unassigned,No,526,Oak St,939921.394245,1115359.943051,43.0602681543726,-76.1353794994936,-8475351.932426,5321151.09162924,maple
32344,81863,"Maple, Shantung",Acer Truncatum,2.0,Northside,Spring 2014,8,Yes,1365,Oak St,939555.527629,1119271.14208,43.0710047226046,-76.1366705875727,-8475495.65583015,5322787.05603169,maple
43555,91238,"Maple, Paperbark",Acer griseum,3.0,Lincoln Hill,Fall 2014,24,Yes,305,Oak St,940441.058078018,1114001.11475998,43.0565322852,-76.1334622868,-8475138.50918412,5320581.91277894,maple
47532,94665,"Maple, Paperbark",Acer griseum,2.0,Northside,Fall 2016,8,Yes,929,Oak St,939666.557320612,1117166.94195713,43.0652297762,-76.1362970231,-8475454.07076302,5321907.07381302,maple
